Age,primary_streaming_service,hours_per_day,while_working,Instrumentalist,composer,fav_genre,exploratory,foreign_languages,bpm,classical,country,edm,folk,gospel,hiphop,jazz,kpop,latin,lofi,metal,pop,r&b,rap,rock,video_game,anxiety,depression,insomnia,ocd,Music effects
24,Spotify,4,TRUE,FALSE,FALSE,Classical,TRUE,TRUE,175,Very frequently,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Sometimes,Never,Very frequently,Sometimes,Rarely,Sometimes,Rarely,4,6,5,3,Improve
36,YouTube Music,1,TRUE,FALSE,FALSE,Rock,TRUE,FALSE,110,Sometimes,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Sometimes,Rarely,6,2,3,1,Improve
19,YouTube Music,4,TRUE,FALSE,FALSE,Video game music,TRUE,FALSE,162,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Very frequently,Very frequently,Rarely,Never,Never,8,2,1,6,Improve
22,Spotify,10,TRUE,FALSE,FALSE,Metal,TRUE,TRUE,189,Rarely,Never,Very frequently,Never,Never,Never,Never,Very frequently,Never,Rarely,Very frequently,Rarely,Never,Never,Very frequently,Very frequently,9,6,0,6,Improve
20,Spotify,3,FALSE,FALSE,TRUE,EDM,TRUE,TRUE,121,Rarely,Never,Rarely,Sometimes,Rarely,Sometimes,Rarely,Never,Sometimes,Never,Never,Very frequently,Sometimes,Rarely,Very frequently,Never,0,3,7,0,Improve
31,Spotify,2,FALSE,FALSE,FALSE,Rock,TRUE,FALSE,200,Rarely,Never,Never,Sometimes,Never,Never,Never,Never,Never,Rarely,Never,Very frequently,Rarely,Never,Sometimes,Rarely,8,9,6,2,Improve
19,Spotify,4,TRUE,FALSE,FALSE,Metal,TRUE,TRUE,105,Sometimes,Never,Never,Rarely,Rarely,Sometimes,Rarely,Never,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Sometimes,Sometimes,Sometimes,4,1,1,1,Improve
15,Spotify,8,TRUE,FALSE,FALSE,Rock,FALSE,FALSE,193,Never,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Very frequently,Rarely,Very frequently,Never,Sometimes,Very frequently,Sometimes,Never,Rarely,8,7,5,0,Improve
18,Spotify,2,FALSE,TRUE,TRUE,Metal,TRUE,TRUE,149,Never,Never,Rarely,Never,Rarely,Sometimes,Rarely,Never,Sometimes,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,Never,3,4,6,1,Improve
25,I do Falset use a streaming service.,0.5,FALSE,TRUE,FALSE,Classical,FALSE,FALSE,140,Very frequently,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Very frequently,Never,Never,Very frequently,Never,1,1,3,1,Improve
17,Apple Music,5,TRUE,FALSE,FALSE,Metal,TRUE,FALSE,134,Never,Never,Very frequently,Rarely,Never,Never,Never,Never,Never,Rarely,Rarely,Sometimes,Rarely,Never,Very frequently,Very frequently,10,8,6,7,False effect
28,YouTube Music,1,FALSE,FALSE,FALSE,Rock,TRUE,FALSE,120,Rarely,Never,Sometimes,Sometimes,Never,Rarely,Never,Rarely,Never,Sometimes,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Sometimes,6,6,2,0,False effect
20,Spotify,3,TRUE,FALSE,FALSE,Rock,TRUE,TRUE,170,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Never,Very frequently,Rarely,Rarely,Sometimes,Sometimes,6,7,0,0,Improve
21,YouTube Music,2,TRUE,TRUE,FALSE,Metal,TRUE,TRUE,107,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Rarely,Never,Very frequently,Rarely,8,4,10,0,False effect
